brand,name,sku,size,description,image_url,highest_market_price
Nike,Air Jordan 1 Retro High Chicago,555088-101,10,The legendary Chicago colorway that started it all. Red and white on black base with premium leather construction.,https://images.stockx.com/images/Air-Jordan-1-Retro-High-Chicago-2015.jpg,2500
Nike,Air Jordan 1 Retro High Bred Toe,555088-610,9.5,Classic bred colorway meets toe box detailing. Black leather base with red and white accents.,https://images.stockx.com/images/Air-Jordan-1-Retro-High-Bred-Toe.jpg,1800
Nike,Air Jordan 4 Retro White Cement,840606-192,11,The iconic Jordan 4 silhouette in original white cement colorway with Nike Air branding.,https://images.stockx.com/images/Air-Jordan-4-Retro-White-Cement-2016.jpg,550
Nike,Air Jordan 11 Retro Concord,378037-100,10.5,The most coveted Jordan 11 ever. White leather with patent leather mudguard and concord purple sole.,https://images.stockx.com/images/Air-Jordan-11-Retro-Concord-2018.jpg,450
Nike,Air Jordan 3 Retro Black Cement,854262-001,9,Premium nubuck upper in cement grey with black elephant print overlays and red accents.,https://images.stockx.com/images/Air-Jordan-3-Retro-Black-Cement-2018.jpg,280
Adidas,Yeezy Boost 350 V2 Zebra,CP9654,10,Kanye West's most popular Yeezy design featuring white Primeknit with black stripes.,https://images.stockx.com/images/Adidas-Yeezy-Boost-350-V2-Zebra.jpg,3200
Adidas,Yeezy Boost 350 V2 Beluga,BB1826,11.5,The original Yeezy 350 V2 colorway in beluga grey with bright orange stripe detail.,https://images.stockx.com/images/Adidas-Yeezy-Boost-350-V2-Beluga.jpg,1200
Adidas,Yeezy Boost 700 Wave Runner,B75571,9.5,Chunky dad shoe silhouette mixing retro vibes with modern Boost technology.,https://images.stockx.com/images/Adidas-Yeezy-Boost-700-Wave-Runner-Solid-Grey.jpg,800
Nike,Dunk Low Panda,DD1391-100,8.5,Clean black and white colorway on the classic Dunk Low silhouette. Perfect for any outfit.,https://images.stockx.com/images/Nike-Dunk-Low-White-Black-Panda.jpg,180
Nike,Dunk Low Chicago,DD1391-100,12,University of Chicago inspired colorway with white base and red overlays.,https://images.stockx.com/images/Nike-Dunk-Low-Chicago.jpg,220
Nike,Air Max 1 Anniversary Red,908375-103,10,Celebrating the 30th anniversary of the Air Max 1 in original University Red colorway.,https://images.stockx.com/images/Nike-Air-Max-1-Anniversary-Red.jpg,160
Nike,Air Force 1 Low White,315122-111,11,The timeless classic. All white leather construction that goes with everything.,https://images.stockx.com/images/Nike-Air-Force-1-Low-White.jpg,120
New Balance,550 Aime Leon Dore Green,BB550LB1,9,Collaboration with Aime Leon Dore featuring premium green and white leather construction.,https://images.stockx.com/images/New-Balance-550-Aime-Leon-Dore-Green.jpg,350
New Balance,2002R Protection Pack Phantom,M2002RDA,10.5,Part of the Protection Pack featuring grey tones with reflective details and premium materials.,https://images.stockx.com/images/New-Balance-2002R-Protection-Pack-Phantom.jpg,180
Adidas,Forum 84 High White Blue,FY7976,8,Retro basketball silhouette in classic white and blue colorway with premium leather upper.,https://images.stockx.com/images/Adidas-Forum-84-High-White-Blue.jpg,90
Nike,Travis Scott Jordan 1 Low,CQ4277-001,9.5,Travis Scott collaboration featuring reverse swoosh and earth tone colorway.,https://images.stockx.com/images/Travis-Scott-x-Air-Jordan-1-Low-OG-SP-Olive.jpg,1800
Nike,Off-White Jordan 1 Chicago,AA3834-101,10,Virgil Abloh's deconstructed take on the Chicago Jordan 1 with signature Off-White details.,https://images.stockx.com/images/Air-Jordan-1-Retro-High-Off-White-Chicago.jpg,8500
Nike,Fragment Jordan 1,DH3227-105,11,Hiroshi Fujiwara's minimalist approach to the Jordan 1 with Fragment Design branding.,https://images.stockx.com/images/Fragment-Design-x-Travis-Scott-x-Air-Jordan-1-Low-OG-SP.jpg,2200
Adidas,Human Race NMD Yellow,PW HU NMD,8.5,Pharrell Williams collaboration featuring bold yellow colorway with inspirational text.,https://images.stockx.com/images/Adidas-NMD-Human-Race-Yellow.jpg,450
Nike,Sacai LDWaffle Green,BV0073-300,12,Chitose Abe's double-layered design aesthetic applied to classic Nike silhouettes.,https://images.stockx.com/images/Sacai-x-Nike-LDWaffle-Pine-Green.jpg,380
Reebok,Question Mid Bubba Chuck,FZ1357,9,Allen Iverson's signature shoe in the classic white and red 76ers colorway.,https://images.stockx.com/images/Reebok-Question-Mid-Bubba-Chuck.jpg,140
Nike,Jordan 12 Flu Game,130690-002,10.5,Michael Jordan's legendary performance shoe from the 1997 NBA Finals.,https://images.stockx.com/images/Air-Jordan-12-Retro-Flu-Game-2016.jpg,380
Nike,Jordan 5 Fire Red,DA1911-102,11.5,The iconic Jordan 5 silhouette in the beloved Fire Red colorway with silver reflective tongue.,https://images.stockx.com/images/Air-Jordan-5-Retro-Fire-Red-2020.jpg,240
Nike,Blazer Mid 77 Vintage White,BQ6806-100,8,Retro basketball shoe with vintage styling and classic white leather construction.,https://images.stockx.com/images/Nike-Blazer-Mid-77-Vintage-White.jpg,85
Adidas,Stan Smith White Green,FX5500,9,The minimalist tennis classic in clean white leather with green heel tab and branding.,https://images.stockx.com/images/Adidas-Stan-Smith-White-Green.jpg,75
